Accession,Signal_Peptide,Subcellular_Location
Q9Z1R2,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:18056262}. Nucleus {ECO:0000250|UniProtKB:P46379}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:P46379}. Note=Normally localized in cytosol and nucleus, it can also be released extracellularly, in exosomes, by tumor and myeloid dendritic cells. {ECO:0000250|UniProtKB:P46379}."
Q80Y86,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q8TD08}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q8TD08}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q8TD08}. Cytoplasmic vesicle, autophagosome {ECO:0000250|UniProtKB:Q8TD08}. Golgi apparatus {ECO:0000250|UniProtKB:Q8TD08}. Nucleus {ECO:0000250|UniProtKB:Q8TD08}. Cytoplasm {ECO:0000250|UniProtKB:Q8TD08}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:23351492}. Note=Co-localizes to the cytoplasm only in presence of ESRRA. Translocates to the nucleus upon activation (By similarity). At prometaphase I, metaphase I (MI), anaphase I, telophase I, and metaphase II (MII) stages, is stably detected at the spindle (PubMed:23351492). {ECO:0000250|UniProtKB:Q8TD08, ECO:0000269|PubMed:23351492}."
D0QMC3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19654412}.
Q63844,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P21708}. Nucleus. Membrane, caveola {ECO:0000250|UniProtKB:P21708}. Cell junction, focal adhesion {ECO:0000269|PubMed:15923189}. Note=Autophosphorylation at Thr-207 promotes nuclear localization (By similarity). PEA15-binding redirects the biological outcome of MAPK3 kinase-signaling by sequestering MAPK3 into the cytoplasm (PubMed:11702783). {ECO:0000250|UniProtKB:P27361, ECO:0000269|PubMed:11702783}."
Q6RI63,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17595322}.
Q9EQR6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11918676}.
P41133,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:16556596}. Cytoplasm {ECO:0000269|PubMed:16556596}. Note=Nuclear in proliferating cells, translocates to cytosol during cell differentiation."
Q9D2V8,,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Multi-pass membrane protein {ECO:0000255}.
Q99MA9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11076772}.
Q99PE9,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:12414990}. Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}."
Q9WUD1,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11435423}. Nucleus {ECO:0000250|UniProtKB:Q9UNE7}. Note=Translocates to the nucleus in response to inflammatory signals in regulatory T-cells (Treg). {ECO:0000250|UniProtKB:Q9UNE7}.
Q8CIG3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19727073}.
Q60848,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10781083, ECO:0000269|PubMed:14517253, ECO:0000269|PubMed:14612388}. Note=Closely associated with pericentric heterochromatin."
Q8VCQ3,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9QYK3}. Cytoplasm {ECO:0000269|PubMed:18619852}. Cytoplasmic vesicle, autophagosome {ECO:0000305}."
Q8BJ71,,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:Q66HC5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q66HC5}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q8N1F7}. Nucleus envelope {ECO:0000269|PubMed:26878725}. Note=Localizes at the nuclear basket and at or near the nuclear entry to the gated channel of the pore. {ECO:0000250}."
P43120,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23665349}.
Q8R5F7,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12015121}. Nucleus {ECO:0000250|UniProtKB:Q9BYX4}. Mitochondrion {ECO:0000250|UniProtKB:Q9BYX4}. Note=Upon viral RNA stimulation and ISGylation, translocates from cytosol to mitochondrion. May be found in the nucleus, during apoptosis. {ECO:0000250|UniProtKB:Q9BYX4}."
Q3UZ45,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21543332}. Note=Excluded from the nucleolus. {ECO:0000250|UniProtKB:D6RGH6}.
Q8BMA5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17003125}. Note=Concentrates in Cajal bodies tethered to histone gene clusters. {ECO:0000250}.
P08046,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11100120, ECO:0000269|PubMed:15958557, ECO:0000269|PubMed:8336701}. Cytoplasm {ECO:0000250|UniProtKB:P18146}."
Q8C4V4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26776516}. Cytoplasm. Note=Predominantly nuclear.
Q8CCH7,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10330188, ECO:0000269|PubMed:9927674, ECO:0000269|PubMed:9927675}."
Q3UCQ1,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089, ECO:0000269|PubMed:16376864, ECO:0000269|PubMed:25402684}. Cytoplasm {ECO:0000269|PubMed:25402684}."
P97305,,SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000269|PubMed:25215946}. Note=Cytoplasmic for the phosphorylated form and nuclear after activation that is controlled by calcineurin-mediated dephosphorylation. Rapid nuclear exit of NFATC is thought to be one mechanism by which cells distinguish between sustained and transient calcium signals. The subcellular localization of NFATC plays a key role in the regulation of gene transcription.
P81269,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1531847}.
Q02067,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1576967}.
Q9JKK8,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome {ECO:0000269|PubMed:22549958, ECO:0000269|PubMed:23039116, ECO:0000269|PubMed:8843195}."
P59055,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17726538, ECO:0000269|PubMed:18291095}."
A2APF3,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000269|PubMed:17048991}.
Q05CL8,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:32017896}."
P48999,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P09917, ECO:0000255|PROSITE-ProRule:PRU00726, ECO:0000269|PubMed:7629107}. Nucleus matrix {ECO:0000269|PubMed:7629107}. Nucleus membrane {ECO:0000250|UniProtKB:P09917}; Peripheral membrane protein {ECO:0000250|UniProtKB:P09917}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P09917}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P09917}. Nucleus envelope {ECO:0000250|UniProtKB:P09917}. Nucleus intermembrane space {ECO:0000250|UniProtKB:P09917}. Note=Shuttles between cytoplasm and nucleus. Found exclusively in the nucleus, when phosphorylated on Ser-272. Calcium binding promotes translocation from the cytosol and the nuclear matrix to the nuclear envelope and membrane association. {ECO:0000250|UniProtKB:P09917}."
Q9JK91,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P40692}. Chromosome {ECO:0000269|PubMed:30949703}. Note=Recruited to chromatin in a MCM9-dependent manner. {ECO:0000250|UniProtKB:P40692}.
Q9D219,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15371335}.
Q8CFP6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24746703}.
P53566,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8415748}.; SUBCELLULAR LOCATION: [Isoform 4]: Nucleus, nucleolus {ECO:0000250|UniProtKB:P05554, ECO:0000250|UniProtKB:P49715}."
P0DOV1,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15342947}.
Q67FY2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15574752}. Note=localized also in punctate nuclear bodies as well in the cytoplasm. Colocalizes with CTNNB1.
Q8C7E9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14681198}.
Q8BGQ2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17726538}.
Q8VHI4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11832226}.
Q8R4E9,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14993212}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q9H211}. Note=Transiently localizes to kinetochores during prometaphase and metaphase. {ECO:0000250|UniProtKB:Q9H211}."
Q00322,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:7594592}.
O88874,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:22012619}.
P42582,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19483677}.
O35658,,"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:17486078, ECO:0000269|PubMed:18166172}. Nucleus {ECO:0000250|UniProtKB:Q07021}. Cell membrane {ECO:0000250|UniProtKB:Q07021}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q07021}; Extracellular side {ECO:0000250|UniProtKB:Q07021}. Secreted {ECO:0000250|UniProtKB:Q07021}. Cytoplasm {ECO:0000250|UniProtKB:Q07021}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q07021}. Note=Seems to be predominantly localized to mitochondria (PubMed:17486078, PubMed:18166172). Secreted by activated lymphocytes (By similarity). {ECO:0000250|UniProtKB:Q07021, ECO:0000269|PubMed:17486078, ECO:0000269|PubMed:18166172}."
Q9CQF3,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18032416}. Cytoplasm {ECO:0000250|UniProtKB:O43809}. Note=Shuttles between the nucleus and the cytoplasm in a transcription- and XPO1/CRM1-independent manner, most probably in complex with the cleavage factor Im complex (CFIm). In punctate subnuclear structures localized adjacent to nuclear speckles, called paraspeckles. {ECO:0000250|UniProtKB:O43809}."
Q66LM6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22231842}.
Q8C0D7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11888890}.
Q6PAR0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q6PID8}. Cytoplasm {ECO:0000250|UniProtKB:Q6PID8}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:23102700}.
O89091,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20070857}.
Q9DC28,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000269|PubMed:10848614, ECO:0000269|PubMed:17101137, ECO:0000269|PubMed:19414593}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Cell membrane {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Golgi apparatus {ECO:0000250}. Note=Localized at mitotic spindle microtubules, and at the centrosomes and interphase in interphase cells. Recruited to the spindle apparatus and the centrosomes in response to DNA-damage. Correct subcellular localization requires kinase activity (By similarity). {ECO:0000250}."
Q9JMK2,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000269|PubMed:19414593}.
Q60793,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10431239, ECO:0000269|PubMed:24161396}."
Q91Z96,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:11500515}.
P23198,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8751383}. Note=May be associated with microtubules and mitotic poles during mitosis (Potential). Associates with euchromatin and is largely excluded from constitutive heterochromatin. {ECO:0000305}.
Q8BIQ5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14681198}. Note=Localized with DDX1 in cleavage bodies. {ECO:0000250}.
A0A0A6YY25,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28292424}.
P23927,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P02511}. Nucleus {ECO:0000250|UniProtKB:P02511}. Secreted {ECO:0000250|UniProtKB:P02511}. Lysosome {ECO:0000305|PubMed:31786107}. Note=Translocates to the nucleus during heat shock and resides in sub-nuclear structures known as SC35 speckles or nuclear splicing speckles. Localizes at the Z-bands and the intercalated disk in cardiomyocytes. Can be secreted; the secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000250|UniProtKB:P02511}."
Q58FA4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15722552}.
Q61169,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16199866}.
P11499,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:27496612, ECO:0000269|PubMed:27686098}. Melanosome {ECO:0000250|UniProtKB:P08238}. Nucleus {ECO:0000250|UniProtKB:P08238}. Secreted {ECO:0000250|UniProtKB:P08238}. Cell membrane {ECO:0000250|UniProtKB:P08238}. Dynein axonemal particle {ECO:0000250|UniProtKB:Q6AZV1}. Note=Translocates with BIRC2 from the nucleus to the cytoplasm during differentiation. Secreted when associated with TGFB1 processed form (LAP). {ECO:0000250|UniProtKB:P08238}."
P35583,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089, ECO:0000269|PubMed:15616563}. Cytoplasm {ECO:0000269|PubMed:15616563}. Note=Shuttles between the nucleus and cytoplasm in a CRM1-dependent manner; in response to insulin signaling via AKT1 is exported from the nucleus."
Q9QY14,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17064680}.
Q9CXV9,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29958295}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9BTE7}. Note=Subcellular localization is independent of the interaction with cullins. {ECO:0000250|UniProtKB:Q9BTE7}."
P39689,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P38936}. Nucleus {ECO:0000269|PubMed:20154723}.
Q9D5D8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18450745}.
Q9R1K9,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P41208}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:11250075}. Nucleus {ECO:0000250|UniProtKB:P41208}. Nucleus envelope {ECO:0000250|UniProtKB:P41208}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P41208}."
Q99LM2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96JB5}. Cytoplasm {ECO:0000269|PubMed:30635284}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q96JB5}. Note=Colocalizes and associates with microtubules. {ECO:0000250|UniProtKB:Q96JB5}."
P22518,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9307018}.
Q32M00,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21728997}.
Q9CZX0,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19185337}. Nucleus {ECO:0000250|UniProtKB:Q9H9T3}.
Q04742,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29263200}.
Q9WTX7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10086359}. Note=Nuclei of round and elongated spermatids.
P41183,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9927193}.
P55194,,"SUBCELLULAR LOCATION: Cell projection {ECO:0000250|UniProtKB:Q9Y3L3}. Cell junction, tight junction {ECO:0000269|PubMed:22891260}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q9Y3L3}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:Q9Y3L3}. Nucleus {ECO:0000250|UniProtKB:Q9Y3L3}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9Y3L3}. Note=Localizes at the leading edge of migrating cells. Accumulation at forming phagocytic cups is PI3 kinase/PI3K-dependent and is specific for sites of large particles engagement and their phosphatidylinositol 3,4,5-triphosphate membrane content. {ECO:0000250|UniProtKB:Q9Y3L3}."
O88509,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15456878}. Note=Accumulates in the major satellite repeats at pericentric heterochromatin.
P35550,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:P22087}. Nucleus, nucleoplasm {ECO:0000305|PubMed:32017896}. Note=Fibrillar region of the nucleolus. {ECO:0000250|UniProtKB:P22087}."
Q61660,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:9096351}.
Q9Z2Q2,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:10430019, ECO:0000269|PubMed:15833274}."
P51859,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P51858}. Cytoplasm {ECO:0000250|UniProtKB:P51858}. Secreted, extracellular exosome {ECO:0000269|PubMed:21087088}. Note=Secreted by exosomes and is located inside the exosome (By similarity). May also be secreted as free protein via an as yet unknown pathway (By similarity). {ECO:0000250|UniProtKB:P51858}."
Q9DB34,,SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:O43633}; Peripheral membrane protein {ECO:0000250|UniProtKB:O43633}; Cytoplasmic side {ECO:0000250|UniProtKB:O43633}. Cytoplasm {ECO:0000269|PubMed:15173323}. Nucleus envelope {ECO:0000250|UniProtKB:O43633}. Note=Localizes to the midbody of dividing cells. Localized in two distinct rings on either side of the Fleming body. Localizes to the reforming nuclear envelope on chromatin disks during late anaphase (By similarity). {ECO:0000250|UniProtKB:O43633}.
P17679,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16888089}.
P23772,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15662016}.
Q8K5C0,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20978075, ECO:0000269|PubMed:22696678}. Membrane {ECO:0000250|UniProtKB:Q6ISB3}. Note=detected at cell-cell contact areas. {ECO:0000250|UniProtKB:Q6ISB3}."
Q8BN78,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10207085, ECO:0000269|PubMed:15282317, ECO:0000269|PubMed:15564377}."
Q3TUL7,,"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Nucleus, nucleolus {ECO:0000269|PubMed:19026396}. Note=According to PubMed:19026396, it is a nucleolar protein, while sequence analysis programs clearly predict 2 transmembrane regions."
P84086,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:7635198}. Cell junction, synapse, presynapse {ECO:0000250|UniProtKB:P84087}. Nucleus {ECO:0000250|UniProtKB:P84087}. Perikaryon {ECO:0000250|UniProtKB:P84087}. Note=Translocated from the perikaryon to the presynaptic terminals during maturation of neuronal cells. In mast cells, cytosol and nucleus. Becomes enriched near plasma membrane following stimulation. {ECO:0000250|UniProtKB:P84087}."
Q8C7W7,,"SUBCELLULAR LOCATION: Chromosome, telomere {ECO:0000269|PubMed:20551906, ECO:0000269|PubMed:20619712}. Nucleus {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Mainly localizes to telomeres, recruited via its interaction with TERF2. During mitosis, localizes to the centrosome."
A0A1W2P872,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:30638744}.
Q9DBY8,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:21474449}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:O15381}. Note=Associates with pre-ribosomal particles in the nucleus. {ECO:0000250|UniProtKB:O15381}."
Q8BZ97,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19646955}.
P23611,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17579016}. Cytoplasm {ECO:0000250|UniProtKB:Q02556}. Note=In resting macrophages, localizes in the cytoplasm. Translocated in the nucleus upon IFN-gamma induction. {ECO:0000250|UniProtKB:Q02556}."
Q03526,,SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000269|PubMed:15662016}. Note=Localizes in the vicinity of cell surface receptors in the plasma membrane after receptor stimulation. {ECO:0000250}.
P47239,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22862948}.
Q6NZQ4,,"SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:10908331, ECO:0000269|PubMed:19124460}. Chromosome {ECO:0000250|UniProtKB:Q6ZW49}. Note=Localizes to DNA damage foci upon ionizing radiation. {ECO:0000250|UniProtKB:Q6ZW49}."
O08608,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19725046}.
P11103,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:25936915}. Nucleus, nucleolus {ECO:0000250|UniProtKB:P09874}. Chromosome {ECO:0000250|UniProtKB:P09874}. Note=Localizes to sites of DNA damage. {ECO:0000250|UniProtKB:P09874}."
Q8R368,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8WXU2}. Cytoplasm {ECO:0000269|PubMed:23872636}. Dynein axonemal particle {ECO:0000250|UniProtKB:Q6AZN0}. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q5VJS5}."
Q7TT37,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19185337, ECO:0000269|PubMed:23717213, ECO:0000269|PubMed:31827135}. Nucleus {ECO:0000250|UniProtKB:O95163}."
Q8CF90,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12368292, ECO:0000269|PubMed:12917329, ECO:0000269|PubMed:14973194}."
Q5NBY9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18241078}.
Q4KMM3,,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Nucleus, nucleolus {ECO:0000269|PubMed:11237729}. Note=According to PubMed:11237729 it is nucleolar."
E9Q5G3,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Midbody, Midbody ring {ECO:0000269|PubMed:19020301}. Note=Localizes to the interzone of mitotic spindles (By similarity). Detected at the midbody during later stages of mitotic cytokinesis. {ECO:0000250}."
Q925J9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15150259}. Note=A subset of the protein may enter the nucleolus subsequent to phosphorylation by MAPK1 or MAPK3. {ECO:0000250}.
P51432,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q99JE6}. Membrane {ECO:0000250|UniProtKB:Q99JE6}. Nucleus {ECO:0000269|PubMed:9714794}. Note=And particulate fractions. {ECO:0000250|UniProtKB:Q99JE6}.
Q62406,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Lipid droplet {ECO:0000269|PubMed:21435586}. Note=Translocates to the nucleus when sumoylated (By similarity). RSAD2/viperin recruits it to the lipid droplet. {ECO:0000250}.
Q3TNL8,"SIGNAL 1..15;  /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8IWB1}; Single-pass type I membrane protein {ECO:0000255}. Nucleus outer membrane {ECO:0000269|PubMed:31142202}; Single-pass type I membrane protein {ECO:0000255}.
Q921B4,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11750124}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187, ECO:0000269|PubMed:11750124}."
Q6ZPK0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15325272}.
Q6PGG6,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:21132010}."
Q03267,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10970879, ECO:0000269|PubMed:12464629, ECO:0000269|PubMed:18223295, ECO:0000269|PubMed:19282287}. Note=In resting lymphocytes, distributed diffusely throughout the nucleus. Localizes to pericentromeric heterochromatin in proliferating cells. This localization requires DNA binding which is regulated by phosphorylation / dephosphorylation events.; SUBCELLULAR LOCATION: [Isoform V]: Nucleus. Note=In resting lymphocytes, distributed diffusely throughout the nucleus. Localizes to pericentromeric heterochromatin in proliferating cells. This localization requires DNA binding which is regulated by phosphorylation / dephosphorylation events.; SUBCELLULAR LOCATION: [Isoform I]: Cytoplasm."
Q9WVL5,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10369865, ECO:0000269|PubMed:25503965}."
P46414,,"SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Endosome {ECO:0000269|PubMed:20228253}. Note=Nuclear and cytoplasmic in quiescent cells. AKT- or RSK-mediated phosphorylation on Thr-197, binds 14-3-3, translocates to the cytoplasm and promotes cell cycle progression. Mitogen-activated UHMK1 phosphorylation on Ser-10 also results in translocation to the cytoplasm and cell cycle progression. Phosphorylation on Ser-10 facilitates nuclear export. Translocates to the nucleus on phosphorylation of Tyr-88 and Tyr-89 (By similarity). Colocalizes at the endosome with SNX6; this leads to lysosomal degradation (PubMed:20228253). {ECO:0000250, ECO:0000269|PubMed:20228253}."
Q60631,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P62993}. Cytoplasm {ECO:0000250|UniProtKB:P62993}. Endosome {ECO:0000250|UniProtKB:P62993}. Golgi apparatus {ECO:0000269|PubMed:11571277}.
Q3U9G9,,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:18785926}; Multi-pass membrane protein {ECO:0000255}. Nucleus {ECO:0000250|UniProtKB:Q14739}. Cytoplasm {ECO:0000250|UniProtKB:Q14739}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q14739}. Note=Nucleus; nuclear rim. {ECO:0000250|UniProtKB:Q14739}.
A2A8L1,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23318260, ECO:0000269|PubMed:23948251}. Note=Associates with heterochromatin."
Q3UXZ9,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:P29375}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000255|PROSITE-ProRule:PRU00537, ECO:0000269|PubMed:20064375}. Note=Occupies promoters of genes involved in RNA metabolism and mitochondrial function. {ECO:0000269|PubMed:20064375}."
Q61164,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000305|PubMed:8649389}. Chromosome {ECO:0000250|UniProtKB:P49711}. Chromosome, centromere {ECO:0000250|UniProtKB:P49711}. Note=May translocate to the nucleolus upon cell differentiation. Associates with both centromeres and chromosomal arms during metaphase. Associates with the H19 ICR in mitotic chromosomes. May be preferentially excluded from heterochromatin during interphase. {ECO:0000250|UniProtKB:P49711}."
